paper_id,claim_id,table_figure,claim,value_script,value_paper,digits,match,value_rewrite,match_rewrite,holds,defect_locus,notes
yokum_ravishankar_coppock_2019,table_a1_1d_control,Table A.1,1D: officers assigned to control,NA,142,0,NA,142,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_1d_bwc,Table A.1,1D: officers assigned a camera,NA,142,0,NA,142,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_1d_probability,Table A.1,1D: probability of assignment,NA,0.5,1,NA,0.5,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_1d_station_control,Table A.1,1D Station: officers assigned to control,NA,7,0,NA,7,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_1d_station_bwc,Table A.1,1D Station: officers assigned a camera,NA,7,0,NA,7,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_1d_station_probability,Table A.1,1D Station: probability of assignment,NA,0.5,1,NA,0.5,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_2d_control,Table A.1,2D: officers assigned to control,NA,137,0,NA,137,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_2d_bwc,Table A.1,2D: officers assigned a camera,NA,137,0,NA,137,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_2d_probability,Table A.1,2D: probability of assignment,NA,0.5,1,NA,0.5,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_3d_control,Table A.1,3D: officers assigned to control,NA,137,0,NA,137,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_3d_bwc,Table A.1,3D: officers assigned a camera,NA,137,0,NA,137,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_3d_probability,Table A.1,3D: probability of assignment,NA,0.5,1,NA,0.5,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_4d_control,Table A.1,4D: officers assigned to control,NA,141,0,NA,141,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_4d_bwc,Table A.1,4D: officers assigned a camera,NA,141,0,NA,141,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_4d_probability,Table A.1,4D: probability of assignment,NA,0.5,1,NA,0.5,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_5d_control,Table A.1,5D: officers assigned to control,NA,79,0,NA,79,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_5d_bwc,Table A.1,5D: officers assigned a camera,NA,166,0,NA,166,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_5d_probability,Table A.1,5D: probability of assignment,NA,0.68,2,NA,0.6775510204081633,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_6d_control,Table A.1,6D: officers assigned to control,NA,153,0,NA,153,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_6d_bwc,Table A.1,6D: officers assigned a camera,NA,152,0,NA,152,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_6d_probability,Table A.1,6D: probability of assignment,NA,0.5,1,NA,0.49836065573770494,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_7d_control,Table A.1,7D: officers assigned to control,NA,99,0,NA,99,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_7d_bwc,Table A.1,7D: officers assigned a camera,NA,159,0,NA,159,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_7d_probability,Table A.1,7D: probability of assignment,NA,0.62,2,NA,0.6162790697674418,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_nsida_control,Table A.1,NSIDa: officers assigned to control,NA,12,0,NA,12,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_nsida_bwc,Table A.1,NSIDa: officers assigned a camera,NA,19,0,NA,19,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_nsida_probability,Table A.1,NSIDa: probability of assignment,NA,0.61,2,NA,0.6129032258064516,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_nsidb_control,Table A.1,NSIDb: officers assigned to control,NA,36,0,NA,36,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_nsidb_bwc,Table A.1,NSIDb: officers assigned a camera,NA,36,0,NA,36,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_nsidb_probability,Table A.1,NSIDb: probability of assignment,NA,0.5,1,NA,0.5,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_sod_control,Table A.1,SOD: officers assigned to control,NA,48,0,NA,48,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_sod_bwc,Table A.1,SOD: officers assigned a camera,NA,49,0,NA,49,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_sod_probability,Table A.1,SOD: probability of assignment,NA,0.5,1,NA,0.5051546391752577,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_school_security_control,Table A.1,School Security: officers assigned to control,NA,44,0,NA,44,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_school_security_bwc,Table A.1,School Security: officers assigned a camera,NA,44,0,NA,44,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a1_school_security_probability,Table A.1,School Security: probability of assignment,NA,0.5,1,NA,0.5,1,NA,NA,No deposited script builds this table
yokum_ravishankar_coppock_2019,table_a2_race_and_sex,Table A.2,Pretreatment race and sex distribution,NA,NA,NA,NA,NA,NA,NA,archive,Not reproducible. Officer race and sex are not in the deposit
yokum_ravishankar_coppock_2019,table_a3_length_of_service,Table A.3,Pretreatment length of service,NA,NA,NA,NA,NA,NA,NA,archive,Not reproducible. Officer length of service is not in the deposit
yokum_ravishankar_coppock_2019,table_a4_5d_date,Table A.4,"5D: date of first BWC deployment, as YYYYMMDD",NA,20150628,0,NA,20150628,1,NA,NA,No deposited script builds this table; the date is the first day of each district's posttreatment window in the deposited officer-day panel
yokum_ravishankar_coppock_2019,table_a4_7d_date,Table A.4,"7D: date of first BWC deployment, as YYYYMMDD",NA,20150628,0,NA,20150628,1,NA,NA,No deposited script builds this table; the date is the first day of each district's posttreatment window in the deposited officer-day panel
yokum_ravishankar_coppock_2019,table_a4_nsid_date,Table A.4,"NSID: date of first BWC deployment, as YYYYMMDD",NA,20160211,0,NA,NA,NA,NA,archive,"The deposited officer-day panel covers the seven patrol districts only, so the special units have no deployment date in the deposit"
