claim_id,location,claim_type,value_paper,digits,units,comparison,needs_block,claim
abstract_officers_in_trial,Abstract (p. 1),pipeline,2224,0,officers,==,TRUE,"To estimate the effects of BWCs, we conducted a randomized controlled trial involving 2,224 Metropolitan Police Department officers in Washington, DC"
abstract_effects_small_insignificant,Abstract (p. 1),descriptive,,0,,==,TRUE,"Here we show that BWCs have very small and statistically insignificant effects on police use of force and civilian complaints, as well as other policing activities and judicial outcomes"
significance_officers_in_trial,Significance statement (p. 1),pipeline,2224,0,officers,==,TRUE,"In a large-scale field experiment (2,224 officers of the Metropolitan Police Department in Washington, DC), we randomly assigned officers to receive cameras or not"
significance_tracking_months,Significance statement (p. 1),definitional,7,0,months,==,TRUE,We tracked subsequent police behavior for a minimum of 7 mo using administrative data
intro_doj_funding,Introduction (p. 1),transcribed,23,0,million USD,>,FALSE,"In 2015, the US Department of Justice awarded over $23 million in funding to support the implementation of BWC programs throughout the country. Transcribed from Department of Justice (2015), reference 1."
intro_doj_year,Introduction (p. 1),transcribed,2015,0,,==,FALSE,"In 2015, the US Department of Justice awarded over $23 million in funding. The year is part of the cited award."
intro_departments_share,Introduction (p. 1),transcribed,95,0,per cent,==,FALSE,"a nationwide survey found that 95% of large police departments either have already implemented or intend to implement a BWC program. Transcribed from Major Cities Chiefs and Major County Sheriffs (2015), reference 2."
methods_half_assigned,Methods (p. 2),descriptive,,0,,==,TRUE,"as part of MPD's deployment of BWCs to its police force, approximately half of all full duty patrol and station officers were randomly assigned to wear BWCs, while the other half remained without BWCs"
methods_officers_in_trial,Methods (p. 2),pipeline,2224,0,officers,==,TRUE,"With 2,224 MPD members participating in the trial, this study is the largest randomized evaluation of BWCs conducted to date"
methods_irb_protocol,Methods (p. 2),structural,2000020390,0,,==,FALSE,"Our project was deemed ""not human subjects research"" by the Yale University IRB (protocol no. 2000020390). An administrative identifier, not a quantity."
methods_seven_districts,Methods (p. 2),definitional,7,0,districts,==,TRUE,We identified eligible officers within each of the seven police districts (as well as several specialized units)
methods_two_arms,Methods (p. 2),structural,2,0,arms,==,FALSE,Eligible officers within each district or special unit were then randomly assigned to one of two groups: (i) no BWC (control) or (ii) with BWC (treatment)
